DATE,DGS10,log_change
2015-02-01,1.68,-0.23262229526875366
2015-03-01,2.08,0.21357410029805912
2015-04-01,1.87,-0.10642946284673127
2015-05-01,2.12,0.12547765781742581
2015-06-01,2.19,0.032485455144488196
2015-07-01,2.43,0.10398971352404773
2015-08-01,2.16,-0.11778303565638337
2015-09-01,2.17,0.00461894585629441
2015-10-01,2.05,-0.05688737440205138
2015-11-01,2.2,0.07061756721395351
2015-12-01,2.15,-0.022989518224698857
2016-01-01,2.24,0.04100802372737711
2016-02-01,1.97,-0.1284423231170514
2016-03-01,1.83,-0.07371757589656758
2016-04-01,1.79,-0.022100347000665876
2016-05-01,1.88,0.04905615698919408
2016-06-01,1.85,-0.016086137751624263
2016-07-01,1.46,-0.23674920336998845
2016-08-01,1.51,0.03367321510658794
2016-09-01,1.57,0.038965968533383744
2016-10-01,1.63,0.03750439545845419
2016-11-01,1.83,0.11573595203465864
2016-12-01,2.45,0.29177205770330616
2017-01-01,2.45,0.0
2017-02-01,2.48,0.012170535620255052
2017-03-01,2.46,-0.008097210232619334
2017-04-01,2.35,-0.04574602178820386
2017-05-01,2.33,-0.008547060578458332
2017-06-01,2.21,-0.05287575204794781
2017-07-01,2.35,0.06142281262640614
2017-08-01,2.26,-0.039050514871873165
2017-09-01,2.16,-0.045256591588120676
2017-10-01,2.34,0.08004270767353627
2017-11-01,2.37,0.012739025777429802
2017-12-01,2.37,0.0
2018-01-01,2.46,0.03727139479723163
2018-02-01,2.78,0.12228957775827409
2018-03-01,2.81,0.01073355564310896
2018-04-01,2.73,-0.028882874148786097
2018-05-01,2.97,0.08426034361773982
2018-06-01,2.89,-0.027305450690267463
2018-07-01,2.87,-0.0069444723528109265
2018-08-01,3.0,0.04430025889657996
2018-09-01,2.9,-0.03390155167568154
2018-10-01,3.09,0.06346035391722582
2018-11-01,3.14,0.016051709010507897
2018-12-01,2.98,-0.05229949940284895
2019-01-01,2.66,-0.11359717772370526
2019-02-01,2.7,0.01492565021667569
2019-03-01,2.76,0.021978906718775004
2019-04-01,2.49,-0.1029479692524421
2019-05-01,2.52,0.011976191046715545
2019-06-01,2.07,-0.19671029424605424
2019-07-01,2.03,-0.019512814223581754
2019-08-01,1.9,-0.06618190688130121
2019-09-01,1.47,-0.2565914853817498
2019-10-01,1.65,0.11551288712184427
2019-11-01,1.73,0.04734612059719845
2019-12-01,1.83,0.056194558343641954
2020-01-01,1.88,0.0269558099885282
2020-02-01,1.54,-0.19948936041631993
2020-03-01,1.1,-0.3364722366212129
2020-04-01,0.62,-0.5733459807473247
2020-05-01,0.64,0.031748698314580326
2020-06-01,0.66,0.030771658666753687
2020-07-01,0.69,0.04445176257083372
2020-08-01,0.56,-0.20875481386210998
2020-09-01,0.68,0.19415601444095743
2020-10-01,0.68,0.0
2020-11-01,0.87,0.24640041347847697
2020-12-01,0.92,0.05588045839445664
2021-01-01,0.93,0.01081091610421564
2021-02-01,1.09,0.15874838907588779
2021-03-01,1.45,0.2853858601914306
2021-04-01,1.69,0.1531649725024991
2021-05-01,1.63,-0.0361485141163112
2021-06-01,1.62,-0.006153865574378137
2021-07-01,1.48,-0.0903840614682691
2021-08-01,1.2,-0.20972053098206908
2021-09-01,1.31,0.08770558041910562
2021-10-01,1.48,0.12201495056296346
2021-11-01,1.58,0.06538275926285181
2021-12-01,1.43,-0.0997504027670596
2022-01-01,1.63,0.13090557054685503
2022-02-01,1.81,0.10474683045906347
2022-03-01,1.72,-0.05100255445237267
2022-04-01,2.39,0.3289690751180576
2022-05-01,2.99,0.22398002145917573
2022-06-01,2.94,-0.01686380605200477
2022-07-01,2.88,-0.02061928720273576
2022-08-01,2.6,-0.10227884912041818
2022-09-01,3.26,0.2262157503511798
2022-10-01,3.67,0.1184644666878627
2022-11-01,4.07,0.10345133738802481
2022-12-01,3.53,-0.14234512850929826
2023-01-01,3.79,0.07106814814912954
2023-02-01,3.39,-0.11153609770197592
2023-03-01,4.01,0.16796131992611874
2023-04-01,3.43,-0.1562309801406292
2023-05-01,3.59,0.0455919413223389
2023-06-01,3.61,0.005555569844602148
2023-07-01,3.86,0.06695941113194981
2023-08-01,4.05,0.04804969764170841
2023-09-01,4.18,0.03159436541821714
2023-10-01,4.69,0.11512133592152307
2023-11-01,4.77,0.016913722442061685
2023-12-01,4.22,-0.12251117685232926
